method,dataset,repeats,scenes,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,cuda_time_s_mean,cuda_time_s_std,wall_time_s_mean,wall_time_s_std,fps_mean,fps_std,peak_device_mb_mean,peak_device_mb_std,gaussians_m_mean,gaussians_m_std
full,Mip-NeRF 360,3,9,27.429834012632018,0.00854674533115123,0.7955115481659218,0.00015173463780310866,0.2638382056245097,0.00021897096528534314,1648.189674999107,11.789178511456818,2026.0,12.288205727444508,574.4745666611212,3.872309707986692,8880.518518518518,62.7232145707676,0.40560251851851853,0.00040297278548758446
full,Tanks & Temples,3,2,23.920929590861004,0.0204447638160166,0.8351094822088877,6.155679849325984e-05,0.21551668147246042,0.00018169437488374805,224.6015710413271,2.4598873928534526,244.66666666666666,3.5118845842842465,672.4015207620508,5.262403929967321,5398.333333333333,18.34620760084583,0.2393615,0.00028853985859841983
skipgs_base,All13,3,13,27.324221439850636,0.015441105950412997,0.8184573910175226,0.00011658042190634145,0.25691908788986695,5.081137748348161e-05,2197.25107682833,12.621745919519876,2622.6666666666665,17.67295485574875,615.822366701502,1.9133004211981421,8108.641025641025,95.46567068888646,0.34831410256410256,0.0005809329180093277
skipgs_base,Deep Blending,3,2,30.045169830322266,0.04296602061959374,0.9008435010910034,0.0004148871501961805,0.272287259499232,6.707188831914099e-05,236.47473560355525,1.6924549339135455,258.6666666666667,1.5275252316519465,750.3092714783309,9.706298189465333,7030.166666666667,141.79415831878737,0.2168358333333333,0.0004676497977475654
skipgs_base,Mip-NeRF 360,3,9,27.464587529500324,0.008468637414981854,0.7960988989582768,0.00010804685169387122,0.2632846059622588,1.7814422001748344e-05,1730.3032594238316,9.179832390032105,2112.6666666666665,14.153915830374762,574.0681442523968,1.2677885195309535,8948.333333333334,78.43279737267922,0.4011908518518518,0.0008337586050666207
skipgs_base,Tanks & Temples,3,2,23.971625645955402,0.041358830769134235,0.8366844952106476,0.0001398237436836408,0.21290608495473862,0.0001898714287263989,230.473081800943,2.694275013129578,251.33333333333334,3.2145502536643185,669.2294629456467,8.157211397056265,5408.5,203.68419182646454,0.241847,0.0002376073441625878
wo_channel,All13,3,13,27.30284910935622,0.008315186642877176,0.8181134661038717,0.0002878072388473265,0.2574896785693291,1.008026226279079e-05,2169.2280440336663,21.09825691894468,2591.3333333333335,24.684678108764825,617.2982973434493,4.758568002549962,8055.717948717949,192.46003709267063,0.34791620512820515,0.00013056623006704138
wo_channel,Deep Blending,3,2,30.000793139139812,0.0674400280590794,0.9002334972222646,0.00177554062851477,0.27330174545447034,0.00015902568119270652,234.44487435084895,2.012872910952411,257.0,2.6457513110645907,751.1430569638868,9.65042436702127,7184.0,232.27785085969776,0.21625483333333334,0.0007094676407936678
wo_channel,Mip-NeRF 360,3,9,27.45076582166884,0.01218265703291684,0.795823785993788,0.00016016896777053662,0.2637244540232199,3.771133993574941e-05,1705.2178190562367,16.977425101316864,2084.6666666666665,19.55334583474995,576.1600012870072,4.104708651841485,8865.37037037037,198.23543594888307,0.4007013703703704,7.182079321094185e-05
wo_channel,Tanks & Temples,3,2,23.93927987416585,0.005626964265493962,0.8362969954808553,0.0002599545616566395,0.21362112214167914,0.0001848383029693273,229.56535062658028,2.208940336761513,249.66666666666666,2.5166114784235836,668.5758699770021,5.685383285170139,5284.0,155.6181223379848,0.24204433333333333,0.0008450677980690661
wo_densification_aware,All13,3,13,27.265239177606045,0.019633791852225024,0.8170708738840543,0.0001403395344817186,0.2590330904110884,0.00021137236012333183,2092.5140072880786,13.404796540246823,2516.0,14.106735979665885,617.1880221936816,2.5356873796589166,8417.0,227.9709703308942,0.35442853846153843,0.00018270017796811352
wo_densification_aware,Deep Blending,3,2,29.950019518534344,0.12949683889010924,0.9004030724366506,0.00047336318757564027,0.2743411362171173,0.00034794320130841967,224.5567394459848,2.1862908876203235,247.0,2.0,747.0452377516832,9.333419118385567,7259.0,142.05984654363104,0.22279766666666664,0.0005088625387404097
wo_densification_aware,Mip-NeRF 360,3,9,27.4116377653899,0.007317845449611521,0.7946640606279727,0.00010546822860331834,0.2649158211769881,0.00017159266789702074,1645.3663638677683,11.633539998863148,2026.0,13.0,574.218997082585,1.2433958305411936,9269.666666666666,290.9231157183273,0.4096119629629629,0.0002514241248070139
wo_densification_aware,Tanks & Temples,3,2,23.92166519165039,0.028645726800768687,0.8345693349838257,0.00029622264015368804,0.21725275615851083,0.00026946025376149387,222.5909039743256,2.388540871123988,243.0,3.0,680.691419635615,3.7993509743220044,5738.0,163.9176622576103,0.23773399999999997,0.00012526871117721233
wo_ipw,All13,3,13,26.93995852348132,0.014623381301549974,0.7905338628169818,9.990193706158884e-05,0.29366569488476485,2.6937986481154294e-05,1838.717352032483,21.322385216586916,2256.0,24.515301344262525,698.5579192148365,7.431937571249338,7945.51282051282,229.1516426848552,0.21472653846153847,0.00012386189579839004
wo_ipw,Deep Blending,3,2,29.660378138224285,0.11022851514774919,0.8933524688084921,0.0013542993275553576,0.2898515313863754,5.368726667297544e-05,206.495894047164,2.497693510862677,228.0,3.0,813.7795472907698,11.298562548789027,6905.5,247.66055398468282,0.15153366666666668,8.943759463074928e-05
wo_ipw,Mip-NeRF 360,3,9,27.05273946126302,0.019854855605868093,0.7618868119186826,0.00014674272956696614,0.3067676176627477,7.933916025888213e-05,1426.9332211988287,16.592639556721704,1803.0,18.0,667.4533062035886,6.537822447194829,8770.0,206.73126230644104,0.23625807407407406,0.00010100875975540124
wo_ipw,Tanks & Temples,3,2,23.712024688720703,0.05935117781314601,0.8166269858678182,0.00015934631070345964,0.23852120588223139,0.00039709529293588847,205.28823678649036,2.3762959937301025,225.0,3.605551275463989,723.3070496895187,9.941320566760783,5275.333333333333,366.74423421961706,0.1810275,0.0003176920678896503
wo_temporal,All13,3,13,27.241631776858597,0.03811052796768137,0.8177645435700049,0.00013275151662927177,0.257426190834779,3.894768498624783e-05,2119.785371726452,16.21152140622301,2542.0,19.05255888325765,615.8711008197125,4.230843621533446,8262.820512820514,143.55207152339784,0.351715641025641,0.00033264243586479176
wo_temporal,Deep Blending,3,2,29.69490909576416,0.21711297623504447,0.8989871641000112,0.0009479856187337238,0.27315400044123334,0.0008963025785927096,229.93573512676628,2.176921534080548,252.33333333333334,2.081665999466133,747.0442814800505,10.854173395719016,7165.166666666667,211.93886697190143,0.22209033333333333,0.00037614502965390383
wo_temporal,Mip-NeRF 360,3,9,27.4292049407959,0.015945943391298897,0.7957491079966227,0.00011666272387291006,0.2633741933990408,7.375003034238872e-05,1664.0489230464302,12.195311601851138,2044.0,14.730919862656235,573.9623962243845,2.5666380894274625,9139.962962962964,132.19520421127595,0.40569392592592596,0.00033303064652165804
wo_temporal,Tanks & Temples,3,2,23.944275220235188,0.026067232418488982,0.8356113831202189,0.00026720696161993096,0.21493236968914667,0.0005713167994152961,225.80071355325558,1.8677262349940023,245.66666666666666,2.309401076758503,673.2870908383508,6.5644183453178915,5413.333333333333,169.3881144984303,0.23843866666666666,0.0008426773304968849
