run,method,dataset,scenes,psnr,ssim,lpips,fps,peak_device_mb,gaussians_m,cuda_time_s,wall_time_s
R1,wo_channel,Tanks & Temples,2,23.93680763244629,0.8361138105392456,0.2134571149945259,662.1081474633744,5443.0,0.24279849999999997,231.67256186210585,252.0
R1,wo_channel,Deep Blending,2,30.048575401306152,0.9010035693645477,0.2732180655002594,746.907028028253,7445.0,0.2155205,235.64160838904098,259.0
R1,wo_channel,All13,13,27.300103701077976,0.8181009751099807,0.2574814409017563,612.5029785664185,8273.692307692309,0.34797530769230767,2185.4813905253095,2612.0
R1,wo_temporal,Mip-NeRF 360,9,27.42011833190918,0.7956947816742791,0.2634535878896713,574.9341185176194,9292.111111111111,0.40531655555555557,1668.7388186647102,2052.0
R1,wo_temporal,Tanks & Temples,2,23.943001747131348,0.8355810344219208,0.21541541814804077,672.6068213684919,5558.0,0.2385325,226.77706808954093,247.0
R1,wo_temporal,Deep Blending,2,29.913241386413574,0.9000518321990967,0.27250662446022034,742.2680457649292,7409.5,0.221794,231.10045031824444,254.0
R1,wo_temporal,All13,13,27.26873471186711,0.8178860591008112,0.2574558750941203,615.7043693019551,8428.0,0.35142323076923077,2126.6163370724958,2553.0
R1,wo_densification_aware,Mip-NeRF 360,9,27.41638247172038,0.7947404384613037,0.26472560895813835,574.121298792603,9551.111111111111,0.4098952222222222,1650.8811386044133,2033.0
R1,wo_densification_aware,Tanks & Temples,2,23.897072792053223,0.8348849415779114,0.21694457530975342,682.9270371086284,5663.0,0.23771799999999998,220.415272271864,240.0
R1,wo_densification_aware,Deep Blending,2,30.099064826965332,0.9007838368415833,0.27400267124176025,756.538996583772,7344.0,0.2228365,222.5116631447376,245.0
R1,wo_densification_aware,All13,13,27.287670575655422,0.8172308848454402,0.25880192105586713,618.924904347556,8613.384615384615,0.3546281538461538,2093.808074021015,2518.0
R1,wo_ipw,Mip-NeRF 360,9,27.05923843383789,0.7619845072428385,0.3068084667126338,660.8913079969221,8896.777777777777,0.23637344444444444,1442.8847057330004,1821.0
R1,wo_ipw,Tanks & Temples,2,23.66685962677002,0.8164967000484467,0.23812291771173477,711.9382259119332,5386.0,0.181323,207.92715716415472,229.0
R1,wo_ipw,Deep Blending,2,29.578712463378906,0.8927545547485352,0.28991271555423737,801.0725003162798,7164.5,0.1516365,209.2090070650197,231.0
R1,wo_ipw,All13,13,26.924945391141453,0.7904894672907316,0.29364211284197295,690.3110172637481,8090.153846153846,0.21486769230769232,1860.0208699621746,2281.0
R1,budget_matched_fullrgb,Mip-NeRF 360,9,27.000085830688477,0.7595083746645186,0.31007644368542564,666.7225616942522,8953.444444444445,0.22946022222222223,1400.3547293778317,1779.0
R1,budget_matched_fullrgb,Tanks & Temples,2,23.651684761047363,0.8146365284919739,0.2423124462366104,723.7609566957508,5537.0,0.1746235,202.18809856291833,223.0
R1,budget_matched_fullrgb,Deep Blending,2,29.532313346862793,0.8924827873706818,0.29432709515094757,808.8327363012088,7036.0,0.14609250000000001,199.97327913348744,222.0
R1,budget_matched_fullrgb,All13,13,26.87452066861666,0.788447231054306,0.29722823661107284,697.3608031724762,8132.846153846154,0.208198,1802.5161070742374,2224.0
R2,fastgs_base,Mip-NeRF 360,9,27.529347737630207,0.7972528470887078,0.2612701902786891,575.8052834854166,8905.444444444445,0.40146611111111113,1937.4564839125146,2316.0
R2,fastgs_base,Tanks & Temples,2,24.088476181030273,0.8390319049358368,0.2098110243678093,666.9562978109481,5064.5,0.242161,260.6670493402226,282.0
R2,fastgs_base,Deep Blending,2,30.03683376312256,0.9017444252967834,0.26923227310180664,724.0202174155188,6955.5,0.2172405,270.658411874953,293.0
R2,fastgs_base,All13,13,27.385749963613655,0.8197560218664316,0.2545783313421103,612.6308139862832,8014.538461538462,0.3486152307692308,2468.7819451276905,2891.0
R2,skipgs_base,Mip-NeRF 360,9,27.473222308688694,0.7962164812617831,0.2632645169893901,572.6523249745047,8862.111111111111,0.4018088888888889,1726.200327112869,2105.0
R2,skipgs_base,Tanks & Temples,2,23.954365730285645,0.8365432918071747,0.21269281953573227,677.7082601833223,5342.5,0.24201699999999998,228.26903003701437,249.0
R2,skipgs_base,Deep Blending,2,30.040818214416504,0.901256799697876,0.2722102403640747,759.3517469974535,6867.0,0.21630349999999998,234.52082003661678,257.0
R2,skipgs_base,All13,13,27.326874512892502,0.8185806549512423,0.2568605209772403,617.5377645486226,8013.692307692308,0.3486862307692308,2188.9901771865,2611.0
R2,full,Mip-NeRF 360,9,27.428821987575954,0.7954853706889682,0.2638223883178499,578.3764741352984,8808.777777777777,0.40578033333333335,1635.130126836376,2012.0
R2,full,Tanks & Temples,2,23.94307518005371,0.8350490629673004,0.2156740427017212,676.8406231815717,5415.5,0.239047,221.99205301554755,241.0
R2,full,Deep Blending,2,29.77500057220459,0.8976545333862305,0.2731448858976364,754.794317941406,6915.0,0.2208825,226.2269130479821,248.0
R2,full,All13,13,27.253503799438477,0.8172904253005981,0.2578491809276434,620.6660114972032,7995.384615384615,0.35168323076923075,2083.349092899906,2501.0
R2,wo_channel,Mip-NeRF 360,9,27.458614985148113,0.79599353339937,0.2636977665954166,579.5896963202199,8804.555555555555,0.40064533333333335,1685.9968358855342,2063.0
R2,wo_channel,Tanks & Temples,2,23.935312271118164,0.8361826539039612,0.2138214111328125,672.7844143691617,5277.0,0.2422035,227.26709123445767,247.0
R2,wo_channel,Deep Blending,2,30.03015422821045,0.9014939963817596,0.2732020318508148,762.1870299015798,7000.0,0.2169365,232.12095580049677,254.0
R2,wo_channel,All13,13,27.31218983576848,0.8184073154742901,0.257486675794308,622.0192427248817,7984.2307692307695,0.34800676923076923,2145.384882920489,2564.0
R2,wo_temporal,Mip-NeRF 360,9,27.4198792775472,0.7956695159276327,0.2633611692322625,575.901292368863,9053.222222222223,0.4059466666666667,1650.204875951543,2027.0
R2,wo_temporal,Tanks & Temples,2,23.91886806488037,0.8353606462478638,0.21507994830608368,680.1651543965872,5455.0,0.2392305,223.64716841179148,243.0
R2,wo_temporal,Deep Blending,2,29.479036331176758,0.8986751437187195,0.27277837693691254,759.4675256148203,7055.0,0.2225135,227.42424138819055,250.0
R2,wo_temporal,All13,13,27.198055560772236,0.8176228633293738,0.2573820902751042,620.1828454878909,8192.23076923077,0.35207753846153844,2101.276285751525,2520.0
R2,wo_densification_aware,Mip-NeRF 360,9,27.403210110134548,0.79454372326533,0.264962880147828,575.5083600221418,9287.777777777777,0.4094152222222222,1632.0009749153492,2011.0
R2,wo_densification_aware,Tanks & Temples,2,23.953118324279785,0.8342973291873932,0.21736973524093628,682.8426441983956,5926.0,0.23786649999999998,222.21069478678402,243.0
R2,wo_densification_aware,Deep Blending,2,29.86507797241211,0.9005523025989532,0.27432289719581604,746.715837239725,7338.0,0.22328599999999998,224.29743710854072,247.0
R2,wo_densification_aware,All13,13,27.25117566035344,0.816968674843128,0.25908086047722745,618.3609386981167,8470.615384615385,0.35438784615384616,2078.509106810674,2501.0
R2,wo_ipw,Mip-NeRF 360,9,27.030449549357098,0.7617180678579543,0.3068182087606854,673.966681677771,8881.777777777777,0.23621522222222222,1409.7662715395475,1785.0
R2,wo_ipw,Tanks & Temples,2,23.77924633026123,0.8165796101093292,0.23852360248565674,730.3670483791914,5574.0,0.1806915,203.31773352682603,222.0
R2,wo_ipw,Deep Blending,2,29.78575897216797,0.8949028253555298,0.289812296628952,817.5726541009916,6881.0,0.151474,204.29214441476196,225.0
R2,wo_ipw,All13,13,26.95415819608248,0.7906482678193313,0.293695052082722,704.7368876969465,8065.076923076923,0.214636,1817.3761494811354,2232.0
R2,budget_matched_fullrgb,Mip-NeRF 360,9,26.981230629814995,0.7592516938845316,0.31029340624809265,683.9547755829027,8651.333333333334,0.22951644444444444,1358.1124323295583,1734.0
R2,budget_matched_fullrgb,Tanks & Temples,2,23.68761444091797,0.8152535855770111,0.2423280030488968,737.275852499966,4843.0,0.174856,197.01624216101402,217.0
R2,budget_matched_fullrgb,Deep Blending,2,29.558960914611816,0.8923160433769226,0.29251326620578766,825.342382140803,6533.0,0.14576050000000002,195.83639907241485,218.0
R2,budget_matched_fullrgb,All13,13,26.871094336876503,0.7883388079129733,0.2971017842109387,713.909957655974,7739.538461538462,0.2082216153846154,1750.965073562987,2169.0
R3,fastgs_base,Mip-NeRF 360,9,27.546208911471897,0.7973370353380839,0.261282773481475,561.4261245088045,8988.444444444445,0.4020286666666667,2000.3313970158486,2384.0
R3,fastgs_base,Tanks & Temples,2,24.183632850646973,0.8398639261722565,0.20944225043058395,657.3520174228179,5579.0,0.241873,260.6350734197532,282.0
R3,fastgs_base,Deep Blending,2,30.010153770446777,0.9013027250766754,0.27045688033103943,749.8725061491739,7119.0,0.2185575,271.90180135359543,295.0
R3,fastgs_base,All13,13,27.40795795734112,0.8198743554262015,0.2547187094505017,605.1757052094788,8176.307692307692,0.349163,2532.868271789197,2961.0
R3,skipgs_base,Mip-NeRF 360,9,27.464244842529297,0.7960039840804206,0.26329848170280457,575.0983574121371,9015.444444444445,0.40024255555555555,1740.8189906122516,2129.0
R3,skipgs_base,Tanks & Temples,2,24.018818855285645,0.836822897195816,0.21296867728233337,661.4372350559245,5637.0,0.2415755,233.47661621899562,255.0
R3,skipgs_base,Deep Blending,2,30.0901460647583,0.9004270434379578,0.2723328173160553,740.0532754930578,7123.5,0.21702349999999998,237.48431502531815,259.0
R3,skipgs_base,All13,13,27.33816410945012,0.8183489029224102,0.25694533265553987,613.7589413697846,8204.615384615385,0.3476446923076923,2211.7799218565656,2643.0
R3,full,Mip-NeRF 360,9,27.43884171379937,0.7956746684180366,0.2636275721920861,570.632549460849,8907.777777777777,0.40588599999999997,1658.0467424721012,2035.0
R3,full,Tanks & Temples,2,23.9027738571167,0.8351072669029236,0.21555817127227783,666.5884097011277,5400.5,0.239614,226.8778534663733,248.0
R3,full,Deep Blending,2,29.973554611206055,0.8998947143554688,0.2729148417711258,744.7768078520504,6959.5,0.2234135,227.4162665612291,250.0
R3,full,All13,13,27.28478710467999,0.8177750752522395,0.25766109044735247,612.1864138656921,8068.461538461538,0.352233,2112.3408624997037,2533.0
R3,wo_channel,Mip-NeRF 360,9,27.456951141357422,0.7958025005128648,0.26370799872610307,577.2782663874475,8704.666666666666,0.40067644444444445,1711.4894010090136,2090.0
R3,wo_channel,Tanks & Temples,2,23.945719718933105,0.8365945219993591,0.21358484029769897,670.83504809847,5132.0,0.241131,229.7563987831773,250.0
R3,wo_channel,Deep Blending,2,29.923649787902832,0.8982029259204865,0.27348513901233673,744.3351129618276,7107.0,0.21630749999999999,235.5720588630091,258.0
R3,wo_channel,All13,13,27.296253791222206,0.8178321077273443,0.25750091901192296,617.3726707390479,7909.2307692307695,0.3477665384615385,2176.8178586552003,2598.0
R3,wo_temporal,Mip-NeRF 360,9,27.447617212931316,0.7958830263879564,0.2633078230751885,571.0517777866712,9074.555555555555,0.40581855555555557,1673.2030745230377,2053.0
R3,wo_temporal,Tanks & Temples,2,23.970955848693848,0.8358924686908722,0.21430174261331558,667.0892967499731,5227.0,0.237553,226.97790415843434,247.0
R3,wo_temporal,Deep Blending,2,29.69244956970215,0.8982345163822174,0.2741769999265671,739.3972730604019,7031.0,0.2219635,231.2825136738638,253.0
R3,wo_temporal,All13,13,27.258105057936447,0.8177847082798297,0.25744060713511246,611.7260876692916,8168.2307692307695,0.35164615384615383,2131.463492355336,2553.0
R3,wo_densification_aware,Mip-NeRF 360,9,27.415320714314777,0.7947080201572843,0.265058974424998,573.0273324330101,8970.111111111111,0.40952544444444444,1653.2169780835422,2034.0
R3,wo_densification_aware,Tanks & Temples,2,23.914804458618164,0.8345257341861725,0.21744395792484283,676.304577599821,5625.0,0.23761749999999998,225.14674486432884,246.0
R3,wo_densification_aware,Deep Blending,2,29.885915756225586,0.8998730778694153,0.27469784021377563,737.8808794315526,7095.0,0.22227049999999998,226.86111808467604,249.0
R3,wo_densification_aware,All13,13,27.25687129680927,0.8170130619635949,0.25921648970017064,614.2782235353721,8167.0,0.3542696153846154,2105.2248410325474,2529.0
R3,wo_ipw,Mip-NeRF 360,9,27.068530400594074,0.7619578606552548,0.30667617751492393,667.5019289360727,8531.444444444445,0.23618555555555557,1428.1486863239381,1803.0
R3,wo_ipw,Tanks & Temples,2,23.68996810913086,0.8168046474456787,0.23891709744930267,727.6158747774316,4866.0,0.181068,204.6198196684903,224.0
R3,wo_ipw,Deep Blending,2,29.616662979125977,0.8924000263214111,0.2898295819759369,822.6934874550378,6671.0,0.1514905,205.9865306617103,228.0
R3,wo_ipw,All13,13,26.940771983220028,0.7904638533408825,0.2936599197295996,700.6258526838149,7681.307692307692,0.21467592307692307,1838.7550366541386,2255.0
R3,budget_matched_fullrgb,Mip-NeRF 360,9,26.97803603278266,0.7595512370268503,0.3100523137383991,678.5643337739531,8559.0,0.22903566666666667,1379.8883196155211,1753.0
R3,budget_matched_fullrgb,Tanks & Temples,2,23.740117073059082,0.8148315250873566,0.24215568602085114,732.5785247825158,4925.0,0.17439349999999998,198.38494569453843,218.0
R3,budget_matched_fullrgb,Deep Blending,2,29.741025924682617,0.8933342695236206,0.2926143854856491,823.0518133601246,6597.0,0.14612999999999998,197.61323593895358,220.0
R3,budget_matched_fullrgb,All13,13,26.90497002234826,0.7886379017279699,0.2969239205121994,709.1030523269891,7698.076923076923,0.20787446153846154,1775.8865012490132,2191.0
