scene,repeats,psnr_delta_mean,psnr_delta_std,wall_speedup_mean_percent,wall_speedup_std_pp,cuda_speedup_mean_percent,cuda_speedup_std_pp
Bicycle,3,-0.0387732187906901,0.026752965913406784,5.9411692960004,1.9304793655037404,5.86269720565898,1.6282424166639118
Kitchen,3,-0.08374404907226562,0.04624504760709614,3.214630888082167,2.0831891778300773,3.6427072311706867,2.238139118469277
Train,3,-0.010469436645507812,0.15127637339487265,2.161711674618679,1.7817638196292425,2.360883611720436,1.7707594573621719
Dr Johnson,3,-0.0404351552327474,0.12425968948579708,4.546923534099534,0.7463334396223368,4.9211073438291155,0.86911446868292
