phase,optimizer,group,gradient_rms_ratio,first_moment_rms_ratio,second_moment_root_ratio,first_to_second_moment_ratio_ratio
active_densification,main,f_dc,1.0057844629904116,0.9935657856204726,1.0369989098680354,0.9674452368115171
active_densification,main,opacity,0.7915068343051911,1.1333963362239223,1.0044074856552876,1.0932498396594386
active_densification,main,rotation,0.9136823243006215,1.1138768895755968,1.1679056839494872,1.0406720318461535
active_densification,main,scaling,0.5854538595262134,1.2014348629535578,0.9966805375529658,1.0549535711737692
active_densification,main,xyz,1.0077643859233374,0.9920912948896266,1.0030232385575133,0.9942269862301915
active_densification,sh,f_rest,0.9736471808811364,1.0559041323104787,1.0387142402504514,1.0136558442411387
late_refinement,main,f_dc,1.1103177037416414,1.0700582381193804,0.9994469349717643,1.0627147824209127
late_refinement,main,opacity,0.976007209885086,1.1473917326387135,0.9324228612129625,1.1203996741429907
late_refinement,main,rotation,0.9833051788054168,1.1024506467934179,1.0226267943134018,1.0587250055205186
late_refinement,main,scaling,1.0360348100719645,1.150024187338977,0.9906192946664916,1.1542234415774604
late_refinement,main,xyz,1.247895220060273,1.2068919943290783,1.1096371438778323,1.1009022849074113
late_refinement,sh,f_rest,1.108716093965808,1.0673934419765416,1.0256258840032628,1.0444479576923198
post_densification_stabilization,main,f_dc,0.9978059618281541,0.9096494948576435,0.993560348485793,0.9146912998449078
post_densification_stabilization,main,opacity,1.1993261392759227,1.0419408277704947,0.9821170825173183,0.9757766695429457
post_densification_stabilization,main,rotation,1.145305747256095,1.029825001603215,0.9778254185647425,1.0119445345712637
post_densification_stabilization,main,scaling,1.3850890958772208,1.1611422805915708,0.9121422836001006,1.1693916909723459
post_densification_stabilization,main,xyz,1.0656726414702777,1.0226483649497105,1.0191424224999062,1.0012890868992517
post_densification_stabilization,sh,f_rest,0.9837473039707135,0.8981638741960364,1.0495082413930208,0.8347523910698017
warmup,main,f_dc,0.9737591302462897,1.0871782087826558,1.011467299444364,1.0388801182671545
warmup,main,opacity,1.2354724416754117,1.1513296801291923,1.0421876184740437,0.9878858191330038
warmup,main,rotation,1.2103652354012484,0.9591803111297292,0.9482254335653337,1.0313881253795762
warmup,main,scaling,0.9744453838729087,1.0360218248106052,0.8928175049174117,1.2033311845670582
warmup,main,xyz,0.9793510292101865,0.9867005445077693,1.0009525822803604,0.990668829996363
warmup,sh,f_rest,1.079639177547509,1.0601746191825188,1.007996195995102,1.0297780465506985
