method,phase,mode,did_backward,iterations,selector_cpu_us,gate_cpu_us,mean_render_ms,sum_render_ms,mean_loss_forward_ms,sum_loss_forward_ms,mean_image_loss_backward_ms,sum_image_loss_backward_ms,mean_rasterizer_backward_ms,sum_rasterizer_backward_ms,mean_density_control_ms,sum_density_control_ms,mean_optimizer_ms,sum_optimizer_ms,mean_iteration_gpu_ms,sum_iteration_gpu_ms
factorgrad_full,active_densification,factorized_channel,1,47984,8.637972094864955,698.3847408302768,1.3591511585265548,65217.5091907382,0.7807784491628855,37464.8731046319,0.5109823540458036,24518.977276533842,3.3754379517868007,161967.01467853785,0.32789354614333366,15733.643918141723,0.5584017645499181,26794.350270163268,7.111947520990975,341259.6898472309
factorgrad_full,late_refinement,factorized_channel,0,15736,11.626316154041687,705.8871671962379,1.354302721174768,21311.30762040615,0.7784836379613256,12250.21852695942,0.0,0.0,0.0,0.0,0.005208837811416797,81.9662718004547,0.052770090513551894,830.3901443212526,2.5381533596105967,39940.38126683235
factorgrad_full,late_refinement,factorized_channel,1,22212,11.299902530163875,704.372235278228,1.3545902582969234,30088.15881729126,0.7790495101855549,17304.247720241547,0.515235822276153,11444.418084397912,3.3359550520007555,74098.23361504078,0.01298801947085743,288.48988848668523,0.05180778097198307,1150.754430949688,6.318376888407473,140343.78744530678
factorgrad_full,late_refinement,l1_only,0,7764,8.77830306543019,585.7351655074704,1.3442669925402269,10436.888930082321,0.6588548913536644,5115.3493764698505,0.0,0.0,0.0,0.0,0.0355145679428139,275.7351055080071,0.04349299949187018,337.6796480548801,2.282759295410867,17723.34316956997
factorgrad_full,late_refinement,l1_only,1,11200,8.533749285714286,590.8514436607143,1.3601270624835575,15233.423099815845,0.6622739685246987,7417.468447476625,0.20654722287319602,2313.3288961797953,3.31347043743091,37110.86889922619,0.03153415188557119,353.18250111839734,0.052556754296622654,588.6356481221737,5.825816007703542,65249.13928627968
factorgrad_full,post_densification_stabilization,full_rgb,0,781,2.5043674775928295,699.9405288092189,1.469919098705702,1148.0068160891533,0.7724930307089748,603.3170569837093,0.0,0.0,0.0,0.0,0.005132128018885851,4.00819198274985,0.07631389439587748,59.601151523180306,2.51477805966757,1964.0416646003723
factorgrad_full,post_densification_stabilization,full_rgb,1,2271,2.7273033905768385,717.7639194187583,1.5425994969159693,3503.2434574961662,0.7825299168357446,1777.125441133976,0.7786774323512572,1768.3764488697052,3.851993786296567,8747.877888679504,0.005235332447665574,11.889439988648519,0.07986481353322324,181.37299153394997,7.2392679541607565,16440.37752389908
factorgrad_full,warmup,full_rgb,1,11992,2.7154613909272847,691.3057664276184,1.0747774758533368,12888.731490433216,0.7718711892159046,9256.279301077127,0.7602208273968671,9116.56816214323,2.2887837323617983,27447.094518482685,0.2609864276951257,3129.7492409199476,0.2762817798028287,3313.1711033955216,5.623469503642401,67436.64628767967
skipgs,active_densification,baseline_full,1,47984,2.394881210403468,705.2040089821608,1.3585034927055761,65186.431593984365,0.7750399010867706,37189.5146137476,0.7661915111860739,36764.93347275257,3.3777548540650644,162078.18891745806,0.3300301386965746,15836.166175216436,0.5524450011138201,26508.520933445543,7.3524451589645965,352799.7285077572
skipgs,late_refinement,baseline_full,0,23094,2.294397808954707,710.5870457694639,1.3607535823873806,31425.243231654167,0.7729237555587737,17849.90121087432,0.0,0.0,0.0,0.0,0.010696153030511604,247.016958086635,0.05048592223363407,1165.9218880635453,2.446055916900747,56489.21534490585
skipgs,late_refinement,baseline_full,1,33818,2.2167261221834527,707.575817257082,1.358150135718907,45929.92128974199,0.7746030927599763,26195.52739095688,0.770016289481188,26040.410877674818,3.3497073900390117,113280.4045163393,0.02222327206766461,751.5466147842817,0.05115971094883449,1730.1191048676847,6.592661052038107,222950.6114578247
skipgs,post_densification_stabilization,baseline_full,0,766,2.22266318537859,701.3789660574413,1.464383122503913,1121.7174718379974,0.764359230122118,585.4991702735424,0.0,0.0,0.0,0.0,0.005230872055507136,4.006847994518466,0.06899642877191957,52.85126443929039,2.4957790493031395,1911.7667517662048
skipgs,post_densification_stabilization,baseline_full,1,2286,2.380023184601925,720.4423600174978,1.5533597486017048,3550.9803853034973,0.7778589407524724,1778.185538560152,0.7731885630784072,1767.509055197239,3.8148730153173913,8720.799713015556,0.005353686792646842,12.23852800799068,0.08189099567778546,187.20281611941755,7.20366781715333,16467.584630012512
skipgs,warmup,baseline_full,1,11992,2.3156245830553703,693.9975528685791,1.0700140332379406,12831.608286589384,0.7654397480135127,9179.153458178043,0.757966852535042,9089.538495600224,2.292115711848723,27487.051616489887,0.2609597676656668,3129.4295338466763,0.27682243630705056,3319.6546561941504,5.611193614553976,67289.43382573128
