scene,skipgs_psnr,factorgrad_psnr,delta_psnr,skipgs_ssim,factorgrad_ssim,delta_ssim,skipgs_lpips,factorgrad_lpips,delta_lpips,skipgs_time_seconds,factorgrad_time_seconds,speedup_percent
bicycle,24.779743194580078,24.719646453857422,-0.06009674072265625,0.7125664353370667,0.7109250426292419,-0.001641392707824707,0.3128228485584259,0.3140367269515991,0.0012138783931732178,192.69691167247706,184.9415782287295,4.024627782789347
kitchen,31.71608543395996,31.657155990600586,-0.058929443359375,0.9278135895729065,0.9271813631057739,-0.0006322264671325684,0.12785424292087555,0.1288982778787613,0.0010440349578857422,253.12544812872937,243.98528072901286,3.610923938026254
train,22.340612411499023,22.258581161499023,-0.08203125,0.8003286719322205,0.800112783908844,-0.00021588802337646484,0.24591156840324402,0.24889619648456573,0.0029846280813217163,125.15659387322215,120.72507906623957,3.5407761347927833
drjohnson,29.423561096191406,29.523008346557617,0.09944725036621094,0.8973308205604553,0.8973713517189026,4.0531158447265625e-05,0.2774827480316162,0.27934107184410095,0.0018583238124847412,131.9351421662409,125.69454627903595,4.730048253058819
