method,phase,optimizer,group,samples,gradient_norm_mean,gradient_norm_std,gradient_rms_mean,first_moment_rms_mean,second_moment_root_mean,first_to_second_moment_ratio_mean
skipgs,active_densification,main,xyz,16,0.09214714169502258,0.07669746822647135,0.00010258926204187446,2.7309684810461476e-05,0.00011255507706664503,0.24849701232908825
skipgs,active_densification,sh,f_rest,16,0.018995050544617698,0.010401923432519469,5.813701484669309e-06,1.3577502624428917e-06,3.0250108409290988e-06,0.467519894212434
skipgs,late_refinement,main,f_dc,20,0.007624555553775281,0.004012860700959547,7.774893651912862e-06,1.4914097718587982e-06,3.892088162160689e-06,0.39402079834660747
skipgs,late_refinement,main,opacity,20,0.004627127986168489,0.007115491048814647,9.131119136895905e-06,1.5749024441902293e-06,3.8617528602458154e-06,0.4340506192712859
skipgs,late_refinement,main,rotation,20,0.05014063590206206,0.04088893944838425,4.741864436255128e-05,8.025584975257516e-06,1.764864093729557e-05,0.4600444526140073
skipgs,late_refinement,main,scaling,20,0.01150089495931752,0.0163647269673961,1.2999857591466935e-05,2.3685179925791998e-06,5.436464385866202e-06,0.3906721744526739
skipgs,late_refinement,main,xyz,20,0.5141277313232422,0.3421578642123198,0.0005337877784768353,9.409401864104438e-05,0.00023688323635724374,0.39742015523569424
skipgs,late_refinement,sh,f_rest,20,0.028981907991692424,0.015527569017770141,7.626738329236104e-06,1.5071501437091684e-06,4.9391901882245294e-06,0.304471499812115
skipgs,post_densification_stabilization,main,f_dc,20,0.005166220545652323,0.003258590005464861,4.563728818141044e-06,9.938287199418028e-07,1.6267308637907263e-06,0.601208129178528
skipgs,post_densification_stabilization,main,opacity,20,0.002571599232032895,0.0035725784070954753,4.377423167767347e-06,8.83274510066201e-07,1.2685109837207166e-06,0.6590931647430959
skipgs,post_densification_stabilization,main,rotation,20,0.021711876190965994,0.016928211166550404,1.765975055150193e-05,3.897444790368354e-06,6.545104781707778e-06,0.5690516654330415
skipgs,post_densification_stabilization,main,scaling,20,0.005292340567393694,0.006001341161632114,5.079430079035774e-06,1.1002029488338393e-06,2.182236265468873e-06,0.4563858262599086
skipgs,post_densification_stabilization,main,xyz,20,0.3393809409812093,0.26497227723466366,0.0003115049335974618,6.274951215345936e-05,0.00011438137698860373,0.5282026426041548
skipgs,post_densification_stabilization,sh,f_rest,20,0.022790863830596208,0.011216409147285335,5.22586645388401e-06,1.2402740196648665e-06,3.45360928122318e-06,0.3949859202529785
skipgs,warmup,main,f_dc,4,0.0014702905900776386,0.0008364962657434174,2.2870648592743237e-06,9.585829232605647e-07,2.916555843057722e-06,0.3282261865401405
skipgs,warmup,main,opacity,4,0.0014857203350402415,0.0019940465171754307,3.5114612018105618e-06,1.2006989038582105e-06,2.971364068571347e-06,0.384093891002846
skipgs,warmup,main,rotation,4,0.00926773517858237,0.006662665197158996,1.1452866715444543e-05,4.347234551005386e-06,1.3085448131278099e-05,0.3344617228062948
skipgs,warmup,main,scaling,4,0.002170126375858672,0.002371391267414044,3.022265730123763e-06,1.7906965297243005e-06,5.653420799944797e-06,0.3001273132788804
skipgs,warmup,main,xyz,4,0.14342750050127506,0.13390844917538502,0.00019552846788428724,3.120775045317714e-05,0.00010920249951595906,0.27481644869845706
skipgs,warmup,sh,f_rest,4,0.01239930558949709,0.006210835753288204,4.971372334239277e-06,2.191208167801051e-06,2.3140501639318245e-06,0.9295935896812931
