method,phase,probes,mean_channel_cosine,std_channel_cosine,mean_channel_norm_ratio,std_channel_norm_ratio,mean_channel_variance_ratio,mean_time_channel_variance_ratio,max_cycle_relative_error,max_exact_value_abs_error
skipgs,warmup,4,0.5768767396608988,0.024418208450078718,1.730630209048589,0.07325471478835391,2.0000000596046448,2.0000000596046448,5.836390300828498e-06,0.0
skipgs,active_densification,16,0.5767022110521793,0.027637012416262787,1.7301065996289253,0.0829110798250457,2.0000000298023224,2.0000000447034836,1.0646513146639336e-05,0.0
skipgs,post_densification_stabilization,20,0.5764374499519666,0.03272678861756171,1.7293123602867126,0.0981803672375897,2.0000000596046448,2.000000077486038,1.5008818081696518e-05,0.0
skipgs,late_refinement,20,0.5760936141014099,0.03839328356734041,1.7282808462778727,0.11517988328979475,2.0000000417232515,3.500000035762787,2.219621637777891e-05,0.0
factorgrad_full,warmup,4,0.5765483975410461,0.031770999902535305,1.7296451131502788,0.09531298545369615,1.9999999701976776,1.9999999701976776,5.840255653311033e-06,0.0
factorgrad_full,active_densification,16,0.5763026320685943,0.035133105769298845,1.7289078856507938,0.10539931847334517,2.000000074505806,2.0000001043081284,1.0721228136389982e-05,0.0
factorgrad_full,post_densification_stabilization,20,0.5764100005229315,0.033214847377921755,1.7292299966017406,0.09964454719544708,2.0000000178813933,2.0000000417232515,1.479983711760724e-05,0.0
factorgrad_full,late_refinement,20,0.5760524670282999,0.03901615249951697,1.7281573832035064,0.11704845990958875,2.0000000417232515,3.500000071525574,2.2187476133694872e-05,0.0
