method,scene,profiled_iterations,iteration_gpu_seconds,training_time_seconds
skipgs,bicycle,29985,196.87828901028632,192.69691167247706
skipgs,kitchen,29985,256.92709631609915,253.12544812872937
skipgs,train,29985,128.67467837023736,125.15659387322215
skipgs,drjohnson,29985,135.42827682137488,131.9351421662409
factorgrad_full,bicycle,29985,189.19912030529977,184.9415782287295
factorgrad_full,kitchen,29985,247.84371207213402,243.98528072901286
factorgrad_full,train,29985,124.16426230704785,120.72507906623957
factorgrad_full,drjohnson,29985,129.1503118069172,125.69454627903595
