dataset,scenes,speedup_pct,delta_psnr,delta_ssim,delta_lpips,delta_fps,delta_peak_device_mib,delta_gaussians_m
m360,9,0.4063540214843661,-0.09069145555555735,-0.003110955555555406,0.004030977777777778,3.2080000815930134,-189.33333333333394,0.0
tnt,2,0.7059546526803891,0.060159699999999816,-0.0010338500000000028,0.004256299999999991,1.0134227528059228,-269.0,0.0
db,2,0.40430801586965276,0.027569799999998423,0.0014598000000001221,0.0018861000000000017,9.847237276936426,480.0,0.0
all13,13,0.4547565396630777,-0.0492895461538474,-0.0020882076923078863,0.0037356615384615266,3.8917939072170498,-98.61538461538476,0.0
