method,dataset,scenes,train_time_s,psnr,ssim,lpips,fps,peak_device_mib,peak_allocated_mib,peak_reserved_mib,gaussians_m
raw_shortergs,m360,9,1735.4521098136902,27.251370533333333,0.8094877666666666,0.2247462222222222,262.734172716191,16088.111111111111,12637.224229600695,15255.777777777777,3.3074346666666665
shortergs_factorgrad,m360,9,1728.400030374527,27.160679077777775,0.8063768111111111,0.2287772,265.942172797784,15898.777777777777,12636.748589409723,15490.0,3.3074346666666665
raw_shortergs,tnt,2,385.44378995895386,23.43792345,0.8435061500000001,0.172102,267.32019835092365,9522.0,6466.982666015625,8687.0,1.834752
shortergs_factorgrad,tnt,2,382.722731590271,23.49808315,0.8424723000000001,0.1763583,268.33362110372957,9253.0,6460.851806640625,8771.0,1.834752
raw_shortergs,db,2,254.16998267173767,29.4211864,0.8967301999999999,0.24854684999999999,313.7131885294732,14716.0,11416.704833984375,14305.0,2.799808
shortergs_factorgrad,db,2,253.14235305786133,29.4487562,0.89819,0.25043295,323.5604258064096,15196.0,11413.661865234375,14672.0,2.799808
raw_shortergs,all13,13,2375.0658824443817,26.998504192307692,0.828143276923077,0.22030874615384613,271.2826406312702,14866.846153846154,11500.18408203125,14098.923076923076,3.002771692307692
shortergs_factorgrad,all13,13,2364.2651150226593,26.949214646153845,0.8260550692307691,0.22404440769230766,275.1744345384873,14768.23076923077,11498.443434495191,14330.461538461539,3.002771692307692
