group,id,method,repetition,dataset,scene,psnr,ssim,lpips,wall_time_s
primary,primary/R1/wo_channel/bonsai,wo_channel,R1,mipnerf360,bonsai,31.8601016998291,0.9398035407066345,0.19249282777309418,220.0
primary,primary/R1/wo_channel/truck,wo_channel,R1,tnt,truck,25.648107528686523,0.871367871761322,0.18035779893398285,122.0
primary,primary/R1/wo_channel/train,wo_channel,R1,tnt,train,22.225507736206055,0.8008597493171692,0.24655643105506897,130.0
primary,primary/R1/wo_channel/drjohnson,wo_channel,R1,db,drjohnson,29.487548828125,0.8973333835601807,0.2784535884857178,137.0
primary,primary/R1/wo_channel/playroom,wo_channel,R1,db,playroom,30.609601974487305,0.9046737551689148,0.267982542514801,122.0
primary,primary/R1/wo_temporal/bicycle,wo_temporal,R1,mipnerf360,bicycle,24.747663497924805,0.7125431895256042,0.3121987581253052,234.0
primary,primary/R1/wo_temporal/flowers,wo_temporal,R1,mipnerf360,flowers,21.18785285949707,0.5590657591819763,0.40661361813545227,233.0
primary,primary/R1/wo_temporal/garden,wo_temporal,R1,mipnerf360,garden,26.988550186157227,0.8335331082344055,0.17581801116466522,296.0
primary,primary/R1/wo_temporal/stump,wo_temporal,R1,mipnerf360,stump,26.66583251953125,0.755566418170929,0.29875752329826355,198.0
primary,primary/R1/wo_temporal/treehill,wo_temporal,R1,mipnerf360,treehill,22.836557388305664,0.6094717979431152,0.43043839931488037,204.0
primary,primary/R1/wo_temporal/room,wo_temporal,R1,mipnerf360,room,31.66459083557129,0.9180140495300293,0.22010166943073273,192.0
primary,primary/R1/wo_temporal/counter,wo_temporal,R1,mipnerf360,counter,29.0009822845459,0.9051482677459717,0.2060997486114502,207.0
primary,primary/R1/wo_temporal/kitchen,wo_temporal,R1,mipnerf360,kitchen,31.692941665649414,0.9275437593460083,0.12846256792545319,272.0
primary,primary/R1/wo_temporal/bonsai,wo_temporal,R1,mipnerf360,bonsai,31.99609375,0.9403666853904724,0.19259199500083923,216.0
primary,primary/R1/wo_temporal/truck,wo_temporal,R1,tnt,truck,25.595985412597656,0.8706728219985962,0.18280816078186035,122.0
primary,primary/R1/wo_temporal/train,wo_temporal,R1,tnt,train,22.29001808166504,0.8004892468452454,0.2480226755142212,125.0
primary,primary/R1/wo_temporal/drjohnson,wo_temporal,R1,db,drjohnson,29.51645851135254,0.8971717953681946,0.27848902344703674,134.0
primary,primary/R1/wo_temporal/playroom,wo_temporal,R1,db,playroom,30.31002426147461,0.9029318690299988,0.26652422547340393,120.0
primary,primary/R1/wo_densification_aware/bicycle,wo_densification_aware,R1,mipnerf360,bicycle,24.700605392456055,0.7088726162910461,0.3158935606479645,229.0
primary,primary/R1/wo_densification_aware/flowers,wo_densification_aware,R1,mipnerf360,flowers,21.177934646606445,0.5580276846885681,0.407481849193573,230.0
primary,primary/R1/wo_densification_aware/garden,wo_densification_aware,R1,mipnerf360,garden,27.114091873168945,0.8333671689033508,0.17741042375564575,296.0
primary,primary/R1/wo_densification_aware/stump,wo_densification_aware,R1,mipnerf360,stump,26.661144256591797,0.7556397318840027,0.2978648543357849,194.0
primary,primary/R1/wo_densification_aware/treehill,wo_densification_aware,R1,mipnerf360,treehill,22.84681510925293,0.6088700890541077,0.4331497848033905,204.0
primary,primary/R1/wo_densification_aware/room,wo_densification_aware,R1,mipnerf360,room,31.791011810302734,0.9170187711715698,0.22076056897640228,192.0
