group,method,dataset,executions,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,wall_time_sum_s_mean,wall_time_sum_s_std
baselines,3dgs,all13,1,27.28031481229342,,0.8332453553493206,,0.21334749173659545,,18825.0,
baselines,3dgs,db,1,29.69279670715332,,0.9025528728961945,,0.24100220203399658,,3189.0,
baselines,3dgs,mipnerf360,1,27.510985480414497,,0.8141913016637167,,0.21660703668991724,,13766.0,
baselines,3dgs,tnt,1,23.829814910888672,,0.8496810793876648,,0.17102482914924622,,1870.0,
baselines,dash,all13,1,27.40682161771334,,0.83307762329395,,0.2205199318436476,,4512.0,
baselines,dash,db,1,29.90986919403076,,0.9017079174518585,,0.25115616619586945,,499.0,
baselines,dash,mipnerf360,1,27.617951922946506,,0.8147007160716586,,0.22220001204146278,,3449.0,
baselines,dash,tnt,1,23.95368766784668,,0.8471434116363525,,0.18232333660125732,,564.0,
baselines,legs,all13,1,28.02658433180589,,0.8536266042635992,,0.18352093146397516,,8303.0,
baselines,legs,db,1,30.200546264648438,,0.9116770327091217,,0.22628125548362732,,811.0,
baselines,legs,mipnerf360,1,28.283358679877388,,0.8370139996210734,,0.18281107561455834,,6290.0,
baselines,legs,tnt,1,24.6971378326416,,0.8703328967094421,,0.14395495876669884,,1202.0,
baselines,mini,all13,1,27.069606194129356,,0.8349386820426354,,0.2219375612644049,,15128.0,
baselines,mini,db,1,29.895599365234375,,0.9041796624660492,,0.25615347921848297,,2119.0,
baselines,mini,mipnerf360,1,27.264721340603298,,0.8199264936976962,,0.21852556698852116,,11495.0,
baselines,mini,tnt,1,23.3655948638916,,0.8332525491714478,,0.2030756175518036,,1514.0,
baselines,shorter,all13,1,26.996910992307694,,0.8283138384615385,,0.2197601923076923,,2445.0,
baselines,shorter,db,1,29.526921299999998,,0.8973148,,0.24833795,,267.0,
baselines,shorter,mipnerf360,1,27.234686755555554,,0.8096945555555556,,0.22402197777777777,,1794.0,
baselines,shorter,tnt,1,23.39690975,,0.84309965,,0.1720044,,384.0,
baselines,speedy,all13,1,26.73188356252817,,0.8064204454421997,,0.2800188786708392,,11712.0,
baselines,speedy,db,1,29.531338691711426,,0.899248480796814,,0.2715148329734802,,1779.0,
baselines,speedy,mipnerf360,1,26.846009572347004,,0.7835485206709968,,0.29061498906877303,,8853.0,
baselines,speedy,tnt,1,23.418861389160156,,0.8165160715579987,,0.24084042757749557,,1080.0,
