group,method,dataset,repetition,scenes,psnr,ssim,lpips,wall_time_sum_s
primary,budget_matched_fullrgb,all13,R1,13,26.87452066861666,0.788447231054306,0.29722823661107284,2224.0
primary,budget_matched_fullrgb,all13,R2,13,26.871094336876503,0.7883388079129733,0.2971017842109387,2169.0
primary,budget_matched_fullrgb,all13,R3,13,26.90497002234826,0.7886379017279699,0.2969239205121994,2191.0
primary,budget_matched_fullrgb,db,R1,2,29.532313346862793,0.8924827873706818,0.29432709515094757,222.0
primary,budget_matched_fullrgb,db,R2,2,29.558960914611816,0.8923160433769226,0.29251326620578766,218.0
primary,budget_matched_fullrgb,db,R3,2,29.741025924682617,0.8933342695236206,0.2926143854856491,220.0
primary,budget_matched_fullrgb,mipnerf360,R1,9,27.000085830688477,0.7595083746645186,0.31007644368542564,1779.0
primary,budget_matched_fullrgb,mipnerf360,R2,9,26.981230629814995,0.7592516938845316,0.31029340624809265,1734.0
primary,budget_matched_fullrgb,mipnerf360,R3,9,26.97803603278266,0.7595512370268503,0.3100523137383991,1753.0
primary,budget_matched_fullrgb,tnt,R1,2,23.651684761047363,0.8146365284919739,0.2423124462366104,223.0
primary,budget_matched_fullrgb,tnt,R2,2,23.68761444091797,0.8152535855770111,0.2423280030488968,217.0
primary,budget_matched_fullrgb,tnt,R3,2,23.740117073059082,0.8148315250873566,0.24215568602085114,218.0
primary,fastgs_base,all13,R1,13,27.357375658475437,0.8193540985767658,0.25495466933800626,2903.0
primary,fastgs_base,all13,R2,13,27.385749963613655,0.8197560218664316,0.2545783313421103,2891.0
primary,fastgs_base,all13,R3,13,27.40795795734112,0.8198743554262015,0.2547187094505017,2961.0
primary,fastgs_base,db,R1,2,29.918498992919922,0.9012084901332855,0.26996323466300964,297.0
primary,fastgs_base,db,R2,2,30.03683376312256,0.9017444252967834,0.26923227310180664,293.0
primary,fastgs_base,db,R3,2,30.010153770446777,0.9013027250766754,0.27045688033103943,295.0
primary,fastgs_base,mipnerf360,R1,9,27.530243555704754,0.7970504893196954,0.2614562859137853,2321.0
primary,fastgs_base,mipnerf360,R2,9,27.529347737630207,0.7972528470887078,0.2612701902786891,2316.0
primary,fastgs_base,mipnerf360,R3,9,27.546208911471897,0.7973370353380839,0.261282773481475,2384.0
primary,fastgs_base,tnt,R1,2,24.018346786499023,0.837865948677063,0.21068882942199707,285.0
primary,fastgs_base,tnt,R2,2,24.088476181030273,0.8390319049358368,0.2098110243678093,282.0
primary,fastgs_base,tnt,R3,2,24.183632850646973,0.8398639261722565,0.20944225043058395,282.0
primary,full,all13,R1,13,27.287527817946213,0.8178523320418137,0.2579193917604593,2526.0
primary,full,all13,R2,13,27.253503799438477,0.8172904253005981,0.2578491809276434,2501.0
primary,full,all13,R3,13,27.28478710467999,0.8177750752522395,0.25766109044735247,2533.0
primary,full,db,R1,2,30.05371856689453,0.9016823172569275,0.27286726236343384,250.0
primary,full,db,R2,2,29.77500057220459,0.8976545333862305,0.2731448858976364,248.0
primary,full,db,R3,2,29.973554611206055,0.8998947143554688,0.2729148417711258,250.0
primary,full,mipnerf360,R1,9,27.421838336520725,0.7953746053907607,0.2640646563635932,2031.0
primary,full,mipnerf360,R2,9,27.428821987575954,0.7954853706889682,0.2638223883178499,2012.0
primary,full,mipnerf360,R3,9,27.43884171379937,0.7956746684180366,0.2636275721920861,2035.0
primary,full,tnt,R1,2,23.916939735412598,0.8351721167564392,0.21531783044338226,245.0
primary,full,tnt,R2,2,23.94307518005371,0.8350490629673004,0.2156740427017212,241.0
primary,full,tnt,R3,2,23.9027738571167,0.8351072669029236,0.21555817127227783,248.0
primary,skipgs_base,all13,R1,13,27.307625697209286,0.8184426151789151,0.25695141003682065,2614.0
primary,skipgs_base,all13,R2,13,27.326874512892502,0.8185806549512423,0.2568605209772403,2611.0
primary,skipgs_base,all13,R3,13,27.33816410945012,0.8183489029224102,0.25694533265553987,2643.0
primary,skipgs_base,db,R1,2,30.004545211791992,0.9008466601371765,0.2723187208175659,260.0
primary,skipgs_base,db,R2,2,30.040818214416504,0.901256799697876,0.2722102403640747,257.0
primary,skipgs_base,db,R3,2,30.0901460647583,0.9004270434379578,0.2723328173160553,259.0
primary,skipgs_base,mipnerf360,R1,9,27.456295437282986,0.7960762315326266,0.26329081919458175,2104.0
primary,skipgs_base,mipnerf360,R2,9,27.473222308688694,0.7962164812617831,0.2632645169893901,2105.0
primary,skipgs_base,mipnerf360,R3,9,27.464244842529297,0.7960039840804206,0.26329848170280457,2129.0
primary,skipgs_base,tnt,R1,2,23.941692352294922,0.836687296628952,0.2130567580461502,250.0
primary,skipgs_base,tnt,R2,2,23.954365730285645,0.8365432918071747,0.21269281953573227,249.0
primary,skipgs_base,tnt,R3,2,24.018818855285645,0.836822897195816,0.21296867728233337,255.0
primary,wo_channel,all13,R1,13,27.300103701077976,0.8181009751099807,0.2574814409017563,2612.0
primary,wo_channel,all13,R2,13,27.31218983576848,0.8184073154742901,0.257486675794308,2564.0
primary,wo_channel,all13,R3,13,27.296253791222206,0.8178321077273443,0.25750091901192296,2598.0
primary,wo_channel,db,R1,2,30.048575401306152,0.9010035693645477,0.2732180655002594,259.0
primary,wo_channel,db,R2,2,30.03015422821045,0.9014939963817596,0.2732020318508148,254.0
primary,wo_channel,db,R3,2,29.923649787902832,0.8982029259204865,0.27348513901233673,258.0
primary,wo_channel,mipnerf360,R1,9,27.436731338500977,0.7956753240691291,0.2637675967481401,2101.0
primary,wo_channel,mipnerf360,R2,9,27.458614985148113,0.79599353339937,0.2636977665954166,2063.0
